Date,Open*,Single_day_Increase(%),Sixty_Days_Increase(%)
2014-6-13,585.7,-7.5352,38.9897
2014-6-14,600.75,2.5696,31.0634
2014-6-15,575.93,-4.1315,13.0108
2014-6-16,592.65,2.9031,14.5944
2014-6-17,591.59,-0.1789,20.7039
2014-6-18,609.77,3.0731,27.0485
2014-6-19,608.07,-0.2788,22.1469
2014-6-20,597.4,-1.7547,21.1914
2014-6-21,593.68,-0.6227,21.0288
2014-6-22,595.9,0.3739,22.8337
2014-6-23,602.16,1.0505,23.3784
2014-6-24,593.97,-1.3601,20.1317
2014-6-25,581.81,-2.0472,25.7611
2014-6-26,566.14,-2.6933,24.0338
2014-6-27,581.3,2.6778,32.5116
2014-6-28,599.08,3.0587,33.4204
2014-6-29,596.33,-0.459,31.3909
2014-6-30,602.62,1.0548,32.2801
2014-7-1,641.39,6.4336,36.54
2014-7-2,641.04,-0.0546,38.2258
2014-7-3,650.77,1.5178,42.1646
2014-7-4,644.65,-0.9404,42.0771
2014-7-5,629.95,-2.2803,40.1234
2014-7-6,631.77,0.2889,41.3399
2014-7-7,635.46,0.5841,39.7486
2014-7-8,622.57,-2.0285,37.3782
2014-7-9,625.22,0.4257,35.4685
2014-7-10,624.83,-0.0624,34.638
2014-7-11,616.66,-1.3076,36.7715
2014-7-12,631.88,2.4681,38.5027
2014-7-13,634.22,0.3703,39.0859
2014-7-14,626.56,-1.2078,37.0724
2014-7-15,620,-1.047,35.2936
2014-7-16,622.01,0.3242,35.4546
2014-7-17,616.54,-0.8794,34.4458
2014-7-18,622.37,0.9456,35.9753
2014-7-19,629.17,1.0926,37.0186
2014-7-20,628.56,-0.097,28.0711
2014-7-21,623.95,-0.7334,26.0512
2014-7-22,622.27,-0.2693,18.9391
2014-7-23,621.12,-0.1848,19.6426
2014-7-24,619.5,-0.2608,18.5796
2014-7-25,601.51,-2.904,6.8871
2014-7-26,601.54,0.005,4.932
2014-7-27,595.67,-0.9758,5.7894
2014-7-28,594.14,-0.2569,4.7597
2014-7-29,585.55,-1.4458,4.728
2014-7-30,584.74,-0.1383,-3.7721
2014-7-31,567.37,-2.9706,-8.0421
2014-8-1,586.2,3.3188,-5.6789
2014-8-2,594.9,1.4841,-9.1023
2014-8-3,588.89,-1.0103,-11.0542
2014-8-4,586.23,-0.4517,-7.6515
2014-8-5,589.01,0.4742,-10.0179
2014-8-6,585.95,-0.5195,-9.6637
2014-8-7,584.65,-0.2219,-10.1105
2014-8-8,588.88,0.7235,-9.4862
2014-8-9,592.47,0.6096,-8.0225
2014-8-10,589.17,-0.557,-9.0641
2014-8-11,591.28,0.3581,-5.6808
2014-8-12,576.51,-2.498,-0.6436
2014-8-13,570.38,-1.0633,-4.2765
2014-8-14,546.18,-4.2428,-4.3878
2014-8-15,511.14,-6.4155,-13.7064
2014-8-16,497.83,-2.604,-16.1315
2014-8-17,519.14,4.2806,-14.924
2014-8-18,491.51,-5.3223,-19.9675
2014-8-19,461.48,-6.1097,-24.3225
2014-8-20,485.07,5.1118,-18.588
2014-8-21,510.45,5.2322,-13.7297
2014-8-22,517.58,1.3968,-13.3834
2014-8-23,513.39,-0.8095,-12.8328
2014-8-24,498.29,-2.9412,-13.7268
2014-8-25,508.22,1.9928,-9.0407
2014-8-26,502.54,-1.1176,-12.8361
2014-8-27,512.19,1.9202,-13.9746
2014-8-28,510.88,-0.2558,-13.7714
2014-8-29,508.42,-0.4815,-15.3077
2014-8-30,508.59,0.0334,-21.7079
2014-8-31,502.9,-1.1188,-22.7721
2014-9-1,477.79,-4.993,-29.2829
2014-9-2,474.48,-0.6928,-29.0353
2014-9-3,476.87,0.5037,-26.2513
2014-9-4,477.68,0.1699,-26.3703
2014-9-5,489.67,2.51,-24.4444
2014-9-6,483.34,-1.2927,-23.7086
2014-9-7,485.13,0.3703,-23.764
2014-9-8,481.81,-0.6844,-24.386
2014-9-9,474.88,-1.4383,-24.5167
2014-9-10,475.48,0.1263,-26.8585
2014-9-11,479.62,0.8707,-26.3581
2014-9-12,479.58,-0.0083,-25.1586
2014-9-13,477.79,-0.3732,-24.4848
2014-9-14,479.12,0.2784,-24.5306
2014-9-15,477.77,-0.2818,-23.933
2014-9-16,474.86,-0.6091,-25.4877
2014-9-17,465.86,-1.8953,-28.4756
2014-9-18,456.86,-1.9319,-30.3105
2014-9-19,424.1,-7.1707,-36.7478
2014-9-20,394.67,-6.9394,-43.4179
2014-9-21,408.08,3.3978,-39.8353
2014-9-22,399.1,-2.2005,-41.775
2014-9-23,402.09,0.7492,-38.1218
2014-9-24,435.75,8.3713,-29.7555
2014-9-25,423.16,-2.8893,-31.669
2014-9-26,411.43,-2.772,-34.1841
2014-9-27,403.56,-1.9128,-34.6511
2014-9-28,399.47,-1.0135,-35.5263
2014-9-29,376.93,-5.6425,-38.1982
2014-9-30,376.09,-0.2229,-41.7399
2014-10-1,387.43,3.0152,-40.2088
2014-10-2,383.99,-0.8879,-40.0864
2014-10-3,375.18,-2.2943,-41.929
2014-10-4,359.89,-4.0754,-46.4786
2014-10-5,328.92,-8.6054,-54.5645
2014-10-6,320.39,-2.5933,-56.9359
2014-10-7,330.58,3.1805,-54.4789
2014-10-8,336.12,1.6758,-53.4127
2014-10-9,352.75,4.9476,-47.9081
2014-10-10,364.69,3.3848,-44.8814
2014-10-11,361.36,-0.9131,-43.2965
2014-10-12,362.61,0.3459,-41.8873
2014-10-13,377.92,4.2222,-33.4223
2014-10-14,391.69,3.6436,-23.3632
2014-10-15,400.95,2.3641,-18.3951
2014-10-16,394.52,-1.6037,-24.2794
2014-10-17,382.76,-2.9808,-21.9379
2014-10-18,383.98,0.3187,-15.5095
2014-10-19,391.25,1.8933,-18.728
2014-10-20,389.23,-0.5163,-24.4765
2014-10-21,382.42,-1.7496,-27.6229
2014-10-22,386.12,0.9675,-25.8459
2014-10-23,382.96,-0.8184,-23.7231
2014-10-24,358.59,-6.3636,-32.0795
2014-10-25,358.61,0.0056,-30.9563
2014-10-26,347.49,-3.1009,-35.9774
2014-10-27,354.78,2.0979,-33.6237
2014-10-28,353.21,-0.4425,-33.5847
2014-10-29,357.09,1.0985,-32.5196
2014-10-30,335.71,-5.9873,-37.3881
2014-10-31,345.01,2.7702,-29.6249
2014-11-1,338.65,-1.8434,-30.7755
2014-11-2,326.08,-3.7118,-34.991
2014-11-3,325.57,-0.1564,-35.3173
2014-11-4,327.16,0.4884,-37.3389
2014-11-5,330.68,1.0759,-34.9703
2014-11-6,339.46,2.6551,-32.6855
2014-11-7,349.82,3.0519,-28.9492
2014-11-8,342.15,-2.1926,-29.7035
2014-11-9,345.38,0.944,-28.8858
2014-11-10,362.27,4.8903,-24.8662
2014-11-11,365.86,0.991,-23.8669
2014-11-12,367.98,0.5795,-22.9142
2014-11-13,427.27,16.1123,-7.0803
2014-11-14,418.42,-2.0713,-8.8698
2014-11-15,399.65,-4.4859,-12.7466
2014-11-16,374.73,-6.2355,-17.0868
2014-11-17,388.35,3.6346,-11.5203
2014-11-18,387.79,-0.1442,-4.4938
2014-11-19,373.9,-3.5818,-1.1362
2014-11-20,380.31,1.7144,-2.8196
2014-11-21,357.88,-5.8978,-6.5169
2014-11-22,351.6,-1.7548,-9.0209
2014-11-23,353.17,0.4465,-16.9457
2014-11-24,366.95,3.9018,-10.1546
2014-11-25,376.89,2.7088,-4.6738
2014-11-26,376.02,-0.2308,-2.9918
2014-11-27,370.5,-1.468,-3.4463
2014-11-28,369.37,-0.305,1.8912
2014-11-29,376.15,1.8356,3.9497
2014-11-30,375.51,-0.1701,0.7644
2014-12-1,378.25,0.7297,2.382
2014-12-2,379.25,0.2644,4.9407
2014-12-3,381.72,0.6513,9.6674
2014-12-4,375.72,-1.5718,16.701
2014-12-5,369.44,-1.6715,17.6228
2014-12-6,376.76,1.9814,16.4237
2014-12-7,374.84,-0.5096,14.2383
